gdp_investment_pct,adaptive_capacity_index,roi_multiplier,recovery_acceleration,unemployment_reduction_pct
0.0,0.0,0.50,1.00,0
0.0,2.5,1.00,1.00,0
0.0,5.0,1.50,1.00,0
0.0,7.5,2.00,1.00,0
0.0,10.0,2.50,1.00,0
2.5,0.0,1.25,1.30,8
2.5,2.5,1.88,1.40,12
2.5,5.0,2.50,1.50,18
2.5,7.5,3.13,1.60,24
2.5,10.0,3.75,1.70,28
5.0,0.0,2.00,2.30,34
5.0,2.5,2.75,2.40,38
5.0,5.0,3.50,2.50,42
5.0,7.5,4.25,2.60,46
5.0,10.0,5.00,2.70,50
7.5,0.0,2.75,2.80,44
7.5,2.5,3.63,2.90,48
7.5,5.0,4.50,3.00,52
7.5,7.5,5.38,3.10,56
7.5,10.0,6.25,3.20,60
10.0,0.0,3.50,3.10,50
10.0,2.5,4.50,3.20,54
10.0,5.0,5.50,3.30,58
10.0,7.5,6.50,3.40,62
10.0,10.0,7.50,3.50,66

# Data sources:
# OECD Skills Outlook (2023): 5%+ GDP investment threshold
# World Economic Forum Inclusive Growth Report (2017)
# Brynjolfsson et al. (2023): AI productivity paradox resolution
#
# Model: ROI(i, a) = β₀ + β₁*i + β₂*a + β₃*i*a
# where:
#   i = GDP investment percentage (0-10%)
#   a = Adaptive capacity index (0-10 scale)
#   β₀ = 0.5 (baseline)
#   β₁ = 0.3 (investment coefficient)
#   β₂ = 0.2 (capacity coefficient)  
#   β₃ = 0.05 (interaction term)
#
# Critical findings:
# - 5% GDP investment threshold yields 2.3x recovery acceleration
# - 5% GDP + moderate adaptive capacity = 34% unemployment reduction
# - Optimal zone: 5-7% GDP investment with adaptive capacity 5-7.5
# - Diminishing returns above 10% GDP investment
#
# Recovery acceleration: multiplier on displacement shock recovery speed
# Unemployment reduction: percentage point reduction in long-term unemployment
