year,high_skill_cognitive,mid_skill_routine,low_skill_nonroutine,high_skill_growth_rate,mid_skill_growth_rate,low_skill_growth_rate
2025,100.00,100.00,100.00,0.042,-0.031,0.018
2026,104.29,96.95,101.82,0.042,-0.031,0.018
2027,108.73,93.98,103.66,0.042,-0.031,0.018
2028,113.33,91.09,105.53,0.042,-0.031,0.018
2029,118.10,88.28,107.43,0.042,-0.031,0.018
2030,123.05,85.55,109.36,0.042,-0.031,0.018
2031,128.18,82.90,111.32,0.042,-0.031,0.018
2032,133.51,80.34,113.31,0.042,-0.031,0.018
2033,139.04,77.85,115.34,0.042,-0.031,0.018
2034,144.78,75.44,117.40,0.042,-0.031,0.018
2035,150.75,73.10,119.49,0.042,-0.031,0.018

# Data sources:
# Autor, D., & Dorn, D. (2023). The labor market impacts of technological change
# Frey, C. B., & Osborne, M. A. (2017). The future of employment
# 
# Model: Employment_index(t) = 100 * exp(growth_rate * t)
# where t = years since 2025
#
# High-skill cognitive: +42% over decade (4.2% annual compounded)
# Mid-skill routine: -31% over decade (-3.1% annual compounded)  
# Low-skill non-routine: +18% over decade (1.8% annual compounded)
